,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College,Tm,Link
13,20.0,Dario Šarić,PF,6-10,225,"April 8, 1994",hr,5,,PHO,https://www.basketball-reference.com/players/s/saricda01.html
14,23.0,Cameron Johnson,PF,6-8,210,"March 3, 1996",us,3,"Pitt, UNC",PHO,https://www.basketball-reference.com/players/j/johnsca02.html
15,,Jae Crowder,SF,6-6,235,"July 6, 1990",us,10,Marquette,PHO,https://www.basketball-reference.com/players/c/crowdja01.html
0,17.0,Shaedon Sharpe,SG,6-6,200,"May 30, 2003",ca,R,Kentucky,POR,https://www.basketball-reference.com/players/s/sharpsh01.html
1,1.0,Anfernee Simons,SG,6-3,181,"June 8, 1999",us,4,,POR,https://www.basketball-reference.com/players/s/simonan01.html
2,9.0,Jerami Grant,PF,6-8,210,"March 12, 1994",us,8,Syracuse,POR,https://www.basketball-reference.com/players/g/grantje01.html
3,11.0,Josh Hart,SG,6-5,215,"March 6, 1995",us,5,Villanova,POR,https://www.basketball-reference.com/players/h/hartjo01.html
4,24.0,Drew Eubanks,C,6-9,245,"February 1, 1997",us,4,Oregon State,POR,https://www.basketball-reference.com/players/e/eubandr01.html
5,27.0,Jusuf Nurkić,C,6-11,290,"August 23, 1994",ba,8,,POR,https://www.basketball-reference.com/players/n/nurkiju01.html
6,26.0,Justise Winslow,SF,6-6,222,"March 26, 1996",us,7,Duke,POR,https://www.basketball-reference.com/players/w/winslju01.html
7,2.0,Trendon Watford,PF,6-9,240,"November 9, 2000",us,1,LSU,POR,https://www.basketball-reference.com/players/w/watfotr01.html
8,0.0,Damian Lillard,PG,6-2,195,"July 15, 1990",us,10,Weber State,POR,https://www.basketball-reference.com/players/l/lillada01.html
9,10.0,Nassir Little,PF,6-5,220,"February 11, 2000",us,3,UNC,POR,https://www.basketball-reference.com/players/l/littlna01.html
10,34.0,Jabari Walker,SF,6-9,215,"July 30, 2002",us,R,Colorado,POR,https://www.basketball-reference.com/players/w/walkeja01.html
11,6.0,Keon Johnson,SG,6-5,186,"March 10, 2002",us,1,Tennessee,POR,https://www.basketball-reference.com/players/j/johnske07.html
12,4.0,Greg Brown III,PF,6-9,205,"September 1, 2001",us,1,Texas,POR,https://www.basketball-reference.com/players/b/browngr01.html
13,21.0,John Butler,C,7-1,175,"December 4, 2002",us,R,Florida State,POR,https://www.basketball-reference.com/players/b/butlejo01.html
14,,Gary Payton II,PG,6-3,190,"December 1, 1992",us,6,Oregon State,POR,https://www.basketball-reference.com/players/p/paytoga02.html
15,,Ibou Badji,C,7-1,240,"October 13, 2002",sn,R,,POR,https://www.basketball-reference.com/players/b/badjiib01.html
0,0.0,Malik Monk,SG,6-3,200,"February 4, 1998",us,5,Kentucky,SAC,https://www.basketball-reference.com/players/m/monkma01.html
1,40.0,Harrison Barnes,PF,6-8,225,"May 30, 1992",us,10,UNC,SAC,https://www.basketball-reference.com/players/b/barneha02.html
2,10.0,Domantas Sabonis,PF,6-11,240,"May 3, 1996",us,6,Gonzaga,SAC,https://www.basketball-reference.com/players/s/sabondo01.html
3,9.0,Kevin Huerter,SG,6-7,190,"August 27, 1998",us,4,Maryland,SAC,https://www.basketball-reference.com/players/h/huertke01.html
4,15.0,Davion Mitchell,PG,6-2,205,"September 5, 1998",us,1,"Auburn, Baylor",SAC,https://www.basketball-reference.com/players/m/mitchda01.html
5,13.0,Keegan Murray,SF,6-8,215,"August 19, 2000",us,R,Iowa,SAC,https://www.basketball-reference.com/players/m/murrake02.html
6,5.0,De'Aaron Fox,PG,6-3,185,"December 20, 1997",us,5,Kentucky,SAC,https://www.basketball-reference.com/players/f/foxde01.html
7,3.0,Terence Davis,SG,6-4,201,"May 16, 1997",us,3,Ole Miss,SAC,https://www.basketball-reference.com/players/d/daviste02.html
8,41.0,Trey Lyles,PF,6-9,234,"November 5, 1995",ca,7,Kentucky,SAC,https://www.basketball-reference.com/players/l/lylestr01.html
9,7.0,Chimezie Metu,C,6-9,225,"March 22, 1997",us,4,USC,SAC,https://www.basketball-reference.com/players/m/metuch01.html
10,30.0,KZ Okpala,PF,6-8,215,"April 28, 1999",us,3,Stanford,SAC,https://www.basketball-reference.com/players/o/okpalkz01.html
11,22.0,Richaun Holmes,PF,6-10,235,"October 15, 1993",us,7,Bowling Green,SAC,https://www.basketball-reference.com/players/h/holmeri01.html
12,8.0,Matthew Dellavedova,PG,6-3,200,"September 8, 1990",au,8,Saint Mary's,SAC,https://www.basketball-reference.com/players/d/dellama01.html
13,25.0,Alex Len,C,7-0,250,"June 16, 1993",ua,9,Maryland,SAC,https://www.basketball-reference.com/players/l/lenal01.html
14,88.0,Neemias Queta,C,7-0,245,"July 13, 1999",pt,1,Utah State University,SAC,https://www.basketball-reference.com/players/q/quetane01.html
15,23.0,Keon Ellis,SG,6-6,175,"January 8, 2000",us,R,"Florida SouthWestern State College, Alabama",SAC,https://www.basketball-reference.com/players/e/elliske01.html
16,19.0,Chima Moneke,SF,6-6,222,"December 24, 1995",au,R,"Northeast Community College, UC-Davis",SAC,https://www.basketball-reference.com/players/m/monekch01.html
0,33.0,Tre Jones,PG,6-1,185,"January 8, 2000",us,2,Duke,SAS,https://www.basketball-reference.com/players/j/jonestr01.html
1,3.0,Keldon Johnson,SF,6-5,220,"October 11, 1999",us,3,Kentucky,SAS,https://www.basketball-reference.com/players/j/johnske04.html
2,17.0,Doug McDermott,SF,6-7,225,"January 3, 1992",us,8,Creighton,SAS,https://www.basketball-reference.com/players/m/mcderdo01.html
3,24.0,Devin Vassell,SG,6-5,200,"August 23, 2000",us,2,Florida State,SAS,https://www.basketball-reference.com/players/v/vassede01.html
4,10.0,Jeremy Sochan,PF,6-9,230,"May 20, 2003",us,R,Baylor,SAS,https://www.basketball-reference.com/players/s/sochaje01.html
5,18.0,Isaiah Roby,PF,6-8,230,"February 3, 1998",us,3,Nebraska,SAS,https://www.basketball-reference.com/players/r/robyis01.html
6,31.0,Keita Bates-Diop,SF,6-8,229,"January 23, 1996",us,4,Ohio State,SAS,https://www.basketball-reference.com/players/b/bateske01.html
7,25.0,Jakob Poeltl,C,7-1,245,"October 15, 1995",at,6,Utah,SAS,https://www.basketball-reference.com/players/p/poeltja01.html
8,7.0,Josh Richardson,SG,6-5,200,"September 15, 1993",us,7,Tennessee,SAS,https://www.basketball-reference.com/players/r/richajo01.html
9,23.0,Zach Collins,PF,6-11,250,"November 19, 1997",us,4,Gonzaga,SAS,https://www.basketball-reference.com/players/c/colliza01.html
10,28.0,Charles Bassey,C,6-11,235,"October 28, 2000",ng,1,Western Kentucky,SAS,https://www.basketball-reference.com/players/b/bassech01.html
11,22.0,Malaki Branham,SF,6-5,180,"May 12, 2003",us,R,Ohio State,SAS,https://www.basketball-reference.com/players/b/branhma01.html
12,35.0,Romeo Langford,SG,6-4,216,"October 25, 1999",us,3,Indiana,SAS,https://www.basketball-reference.com/players/l/langfro01.html
13,41.0,Gorgui Dieng,C,6-10,252,"January 18, 1990",sn,9,Louisville,SAS,https://www.basketball-reference.com/players/d/dienggo01.html
14,34.0,Stanley Johnson,SF,6-6,242,"May 29, 1996",us,7,Arizona,SAS,https://www.basketball-reference.com/players/j/johnsst04.html
15,26.0,Dominick Barlow,SF,6-9,221,"May 26, 2003",us,R,,SAS,https://www.basketball-reference.com/players/b/barlodo01.html
16,14.0,Blake Wesley,SG,6-5,185,"March 16, 2003",us,R,Notre Dame,SAS,https://www.basketball-reference.com/players/w/weslebl01.html
0,35.0,Christian Koloko,C,7-1,230,"June 20, 2000",cm,R,Arizona,TOR,https://www.basketball-reference.com/players/k/kolokch01.html
1,4.0,Scottie Barnes,PF,6-9,227,"August 1, 2001",us,1,Florida State,TOR,https://www.basketball-reference.com/players/b/barnesc01.html
2,21.0,Thaddeus Young,PF,6-8,235,"June 21, 1988",us,15,Georgia Tech,TOR,https://www.basketball-reference.com/players/y/youngth01.html
3,3.0,OG Anunoby,SF,6-7,232,"July 17, 1997",gb,5,Indiana,TOR,https://www.basketball-reference.com/players/a/anunoog01.html
4,25.0,Chris Boucher,PF,6-9,200,"January 11, 1993",lc,5,Oregon,TOR,https://www.basketball-reference.com/players/b/bouchch01.html
5,23.0,Fred VanVleet,PG,6-1,197,"February 25, 1994",us,6,Wichita State,TOR,https://www.basketball-reference.com/players/v/vanvlfr01.html
6,33.0,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,4,Duke,TOR,https://www.basketball-reference.com/players/t/trentga02.html
7,43.0,Pascal Siakam,C,6-9,230,"April 2, 1994",cm,6,New Mexico State,TOR,https://www.basketball-reference.com/players/s/siakapa01.html
8,41.0,Juancho Hernangómez,PF,6-9,214,"September 28, 1995",es,6,,TOR,https://www.basketball-reference.com/players/h/hernaju01.html
9,22.0,Malachi Flynn,PG,6-1,175,"May 10, 1998",us,2,"Washington State, San Diego State",TOR,https://www.basketball-reference.com/players/f/flynnma01.html
10,45.0,Dalano Banton,PG,6-9,204,"November 7, 1999",ca,1,Nebraska,TOR,https://www.basketball-reference.com/players/b/bantoda01.html
11,24.0,Khem Birch,C,6-9,233,"September 28, 1992",ca,5,"Pitt, UNLV",TOR,https://www.basketball-reference.com/players/b/birchkh01.html
12,5.0,Precious Achiuwa,C,6-8,225,"September 19, 1999",ng,2,Memphis,TOR,https://www.basketball-reference.com/players/a/achiupr01.html
13,20.0,Jeff Dowtin,PG,6-3,185,"May 10, 1997",us,1,Rhode Island,TOR,https://www.basketball-reference.com/players/d/dowtije01.html
14,32.0,Otto Porter Jr.,SF,6-8,198,"June 3, 1993",us,9,Georgetown,TOR,https://www.basketball-reference.com/players/p/porteot01.html
15,11.0,Justin Champagnie,SF,6-6,200,"June 29, 2001",us,1,Pitt,TOR,https://www.basketball-reference.com/players/c/champju01.html
16,8.0,Ron Harper Jr.,SF,6-6,245,"April 12, 2000",us,R,Rutgers University,TOR,https://www.basketball-reference.com/players/h/harpero02.html
0,5.0,Malik Beasley,SG,6-4,187,"November 26, 1996",us,6,Florida State,UTA,https://www.basketball-reference.com/players/b/beaslma01.html
1,0.0,Jordan Clarkson,SG,6-4,194,"June 7, 1992",us,8,"Tulsa, Missouri",UTA,https://www.basketball-reference.com/players/c/clarkjo01.html
2,8.0,Jarred Vanderbilt,PF,6-9,214,"April 3, 1999",us,4,Kentucky,UTA,https://www.basketball-reference.com/players/v/vandeja01.html
3,23.0,Lauri Markkanen,SF,7-0,240,"May 22, 1997",fi,5,Arizona,UTA,https://www.basketball-reference.com/players/m/markkla01.html
4,24.0,Walker Kessler,C,7-1,245,"July 26, 2001",us,R,"UNC, Auburn",UTA,https://www.basketball-reference.com/players/k/kesslwa01.html
5,41.0,Kelly Olynyk,PF,6-11,240,"April 19, 1991",ca,9,Gonzaga,UTA,https://www.basketball-reference.com/players/o/olynyke01.html
6,0.0,Talen Horton-Tucker,SG,6-4,234,"November 25, 2000",us,3,Iowa State,UTA,https://www.basketball-reference.com/players/h/hortota01.html
7,2.0,Collin Sexton,SG,6-1,190,"January 4, 1999",us,4,Alabama,UTA,https://www.basketball-reference.com/players/s/sextoco01.html
8,11.0,Mike Conley,PG,6-1,175,"October 11, 1987",us,15,Ohio State,UTA,https://www.basketball-reference.com/players/c/conlemi01.html
9,6.0,Nickeil Alexander-Walker,SG,6-6,205,"September 2, 1998",ca,3,Virginia Tech,UTA,https://www.basketball-reference.com/players/a/alexani01.html
10,22.0,Rudy Gay,SF,6-8,250,"August 17, 1986",us,16,UConn,UTA,https://www.basketball-reference.com/players/g/gayru01.html
11,16.0,Simone Fontecchio,SF,6-8,209,"December 9, 1995",it,R,,UTA,https://www.basketball-reference.com/players/f/fontesi01.html
12,30.0,Ochai Agbaji,SG,6-5,215,"April 20, 2000",us,R,Kansas,UTA,https://www.basketball-reference.com/players/a/agbajoc01.html
13,20.0,Udoka Azubuike,C,6-10,280,"September 17, 1999",ng,2,Kansas,UTA,https://www.basketball-reference.com/players/a/azubuud01.html
14,10.0,Leandro Bolmaro,SG,6-6,200,"September 11, 2000",ar,1,,UTA,https://www.basketball-reference.com/players/b/bolmale01.html
15,25.0,Micah Potter,PF,6-10,248,"April 6, 1998",us,1,"Ohio State, Wisconsin",UTA,https://www.basketball-reference.com/players/p/pottemi01.html
16,,Johnny Juzang,SF,6-7,215,"March 17, 2001",us,R,"Kentucky, UCLA",UTA,https://www.basketball-reference.com/players/j/juzanjo01.html
0,21.0,Daniel Gafford,C,6-10,234,"October 1, 1998",us,3,Arkansas,WAS,https://www.basketball-reference.com/players/g/gaffoda01.html
1,33.0,Kyle Kuzma,PF,6-9,221,"July 24, 1995",us,5,Utah,WAS,https://www.basketball-reference.com/players/k/kuzmaky01.html
2,9.0,Deni Avdija,SF,6-9,210,"January 3, 2001",il,2,,WAS,https://www.basketball-reference.com/players/a/avdijde01.html
3,6.0,Kristaps Porziņģis,PF,7-3,240,"August 2, 1995",lv,6,,WAS,https://www.basketball-reference.com/players/p/porzikr01.html
4,22.0,Monte Morris,PG,6-2,183,"June 27, 1995",us,5,Iowa State,WAS,https://www.basketball-reference.com/players/m/morrimo01.html
5,5.0,Will Barton,SG,6-6,181,"January 6, 1991",us,10,Memphis,WAS,https://www.basketball-reference.com/players/b/bartowi01.html
6,24.0,Corey Kispert,SF,6-7,220,"March 3, 1999",us,1,Gonzaga,WAS,https://www.basketball-reference.com/players/k/kispeco01.html
7,16.0,Anthony Gill,PF,6-7,230,"October 17, 1992",us,2,"South Carolina, Virginia",WAS,https://www.basketball-reference.com/players/g/gillan01.html
8,7.0,Jordan Goodwin,PG,6-3,200,"October 23, 1998",us,1,Saint Louis,WAS,https://www.basketball-reference.com/players/g/goodwjo01.html
9,3.0,Bradley Beal,SG,6-4,207,"June 28, 1993",us,10,Florida,WAS,https://www.basketball-reference.com/players/b/bealbr01.html
10,67.0,Taj Gibson,PF,6-9,232,"June 24, 1985",us,13,USC,WAS,https://www.basketball-reference.com/players/g/gibsota01.html
11,8.0,Rui Hachimura,PF,6-8,230,"February 8, 1998",jp,3,Gonzaga,WAS,https://www.basketball-reference.com/players/h/hachiru01.html
12,1.0,Johnny Davis,SG,6-5,196,"February 27, 2002",us,R,Wisconsin,WAS,https://www.basketball-reference.com/players/d/davisjo06.html
13,55.0,Delon Wright,PG,6-5,185,"April 26, 1992",us,7,Utah,WAS,https://www.basketball-reference.com/players/w/wrighde01.html
14,15.0,Devon Dotson,PG,6-2,185,"August 2, 1999",us,2,Kansas,WAS,https://www.basketball-reference.com/players/d/dotsode01.html
15,14.0,Isaiah Todd,PF,6-10,220,"October 17, 2001",us,1,,WAS,https://www.basketball-reference.com/players/t/toddis01.html
16,13.0,Vernon Carey Jr.,C,6-9,270,"February 25, 2001",us,2,Duke,WAS,https://www.basketball-reference.com/players/c/careyve01.html
